timestamp_human;timestamp;component;topic;check;check_id;error_sequence_count;error_count;warning_count;success_count;check_count;is_periodic;severity;error_message
2021-10-08 16:01:55.705774784;1.633.701.715.705.770.000;Hosts;brick3;Storage name;5;1;1;0;0;1;0;2;Storage name* value / should be equal /storage
2021-10-08 16:01:55.705850601;1.633.701.715.705.850.000;Hosts;brick3;Storage Usage;5;0;0;0;1;1;0;0;Storage Usage* value 28.33 is less than the warning limit 80.00
2021-10-08 16:01:55.719129801;1.633.701.715.719.120.000;Hosts;brick2;Filesystem type;5;0;0;0;1;1;0;0;Filesystem type* value ext4 is equal ext4
2021-10-08 16:01:55.719179153;1.633.701.715.719.170.000;Hosts;brick2;Storage name;5;0;0;0;1;1;0;0;Storage name* value / is equal /
2021-10-08 16:01:55.719196320;1.633.701.715.719.190.000;Hosts;brick2;Storage Usage;5;0;0;0;1;1;0;0;Storage Usage* value 28.33 is less than the warning limit 80.00
2021-10-08 16:01:55.730167389;1.633.701.715.730.160.000;Hosts;brick1;Filesystem type;5;0;0;0;1;1;0;0;Filesystem type* value ext4 is equal ext4
2021-10-08 16:01:55.743453026;1.633.701.715.743.450.000;hella5g rear right1;/radar_hella5g5_node_rear_right1/radar_scan;Vehicle speed;9;0;0;0;1;1;0;0;general/vehicle_speed current value 5.01 is in range [ 0.00 ... 10.00 ]
2021-10-08 16:01:55.762525797;1.633.701.715.762.520.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;0;0;1;0;1;0;1;general/vehicle_speed current value 5.01 is larger than warn threshold 5.00 but smaller than error threshold 8.00.
2021-10-08 16:01:56.424862862;1.633.701.716.424.860.000;Alternate;/extern/alternate;Alternate_status_cpp;7;0;0;0;1;1;0;0;Success: I stay in success for 6 seconds
2021-10-08 16:01:56.512516260;1.633.701.716.512.510.000;MDI Frame checker;/mdi_driver_nodelet_brick1/raw_frames_136_1;MDI Frame Check;7;1;1;0;0;1;0;2;Error: Wrong frame version 2.0! It should be version 2.1.
2021-10-08 16:01:56.762096167;1.633.701.716.762.090.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;1;1;3;0;4;0;2;general/vehicle_speed current value 8.01 is larger than error threshold 8.00.
2021-10-08 16:01:56.907961369;1.633.701.716.907.960.000;Plausibility;/extern/plausibility;Plausibility_Status;7;1;1;0;0;1;0;2;Error: 1 bad signals of 3
2021-10-08 16:01:56.908032894;1.633.701.716.908.030.000;Plausibility;/extern/plausibility;/vehicle/speed/data;7;0;0;0;1;1;0;0;Success: signal is plausible
2021-10-08 16:01:56.908060074;1.633.701.716.908.060.000;Plausibility;/extern/plausibility;/system_checker_state/general/vehicle_speed;7;0;0;0;1;1;0;0;Success: signal is plausible
2021-10-08 16:01:56.908081770;1.633.701.716.908.080.000;Plausibility;/extern/plausibility;/system_checker_state/state;7;1;1;0;0;1;0;2;Error: |MAD[8.533] - 3.556| > 3.500
2021-10-08 16:01:57.428824186;1.633.701.717.428.820.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;1;2;3;1;6;0;0;general/vehicle_speed current value 1.01 is smaller than warn threshold 5.00.
2021-10-08 16:01:58.761024714;1.633.701.718.761.020.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;1;2;4;4;10;0;1;general/vehicle_speed current value 5.01 is larger than warn threshold 5.00 but smaller than error threshold 8.00.
2021-10-08 16:01:59.426546335;1.633.701.719.426.540.000;Alternate;/extern/alternate;Alternate_status_cpp;7;0;0;1;3;4;0;1;Error: I stay in error for 1 second
2021-10-08 16:01:59.761373997;1.633.701.719.761.370.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;2;3;6;4;13;0;2;general/vehicle_speed current value 8.01 is larger than error threshold 8.00.
2021-10-08 16:02:00.433154106;1.633.701.720.433.150.000;Alternate;/extern/alternate;Alternate_status_cpp;7;0;0;1;4;5;0;0;Success: I stay in success for 6 seconds
2021-10-08 16:02:00.434043169;1.633.701.720.434.040.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;2;4;6;5;15;0;0;general/vehicle_speed current value 1.01 is smaller than warn threshold 5.00.
2021-10-08 16:02:01.766171217;1.633.701.721.766.170.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;2;4;7;8;19;0;1;general/vehicle_speed current value 5.01 is larger than warn threshold 5.00 but smaller than error threshold 8.00.
2021-10-08 16:02:02.770234585;1.633.701.722.770.230.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;3;5;9;8;22;0;2;general/vehicle_speed current value 8.01 is larger than error threshold 8.00.
2021-10-08 16:02:03.431254387;1.633.701.723.431.250.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;3;6;9;9;24;0;0;general/vehicle_speed current value 1.01 is smaller than warn threshold 5.00.
2021-10-08 16:02:04.763731480;1.633.701.724.763.730.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;3;6;10;12;28;0;1;general/vehicle_speed current value 5.01 is larger than warn threshold 5.00 but smaller than error threshold 8.00.
2021-10-08 16:02:05.433447361;1.633.701.725.433.440.000;Alternate;/extern/alternate;Alternate_status_cpp;7;0;0;2;8;10;0;1;Error: I stay in error for 1 second
2021-10-08 16:02:05.760291815;1.633.701.725.760.290.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;4;7;12;12;31;0;2;general/vehicle_speed current value 8.01 is larger than error threshold 8.00.
2021-10-08 16:02:06.427043915;1.633.701.726.427.040.000;Alternate;/extern/alternate;Alternate_status_cpp;7;0;0;2;9;11;0;0;Success: I stay in success for 6 seconds
2021-10-08 16:02:06.434886456;1.633.701.726.434.880.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;4;8;12;13;33;0;0;general/vehicle_speed current value 1.01 is smaller than warn threshold 5.00.
2021-10-08 16:02:07.761301517;1.633.701.727.761.300.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;4;8;13;16;37;0;1;general/vehicle_speed current value 5.01 is larger than warn threshold 5.00 but smaller than error threshold 8.00.
2021-10-08 16:02:08.765867949;1.633.701.728.765.860.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;5;9;15;16;40;0;2;general/vehicle_speed current value 8.01 is larger than error threshold 8.00.
2021-10-08 16:02:09.427831173;1.633.701.729.427.830.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;5;10;15;17;42;0;0;general/vehicle_speed current value 1.01 is smaller than warn threshold 5.00.
2021-10-08 16:02:10.763813496;1.633.701.730.763.810.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;5;10;16;20;46;0;1;general/vehicle_speed current value 5.01 is larger than warn threshold 5.00 but smaller than error threshold 8.00.
2021-10-08 16:02:11.424924374;1.633.701.731.424.920.000;Alternate;/extern/alternate;Alternate_status_cpp;7;0;0;3;13;16;0;1;Error: I stay in error for 1 second
2021-10-08 16:02:11.769909620;1.633.701.731.769.900.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;6;11;18;20;49;0;2;general/vehicle_speed current value 8.01 is larger than error threshold 8.00.
2021-10-08 16:02:12.424703836;1.633.701.732.424.700.000;Alternate;/extern/alternate;Alternate_status_cpp;7;0;0;3;14;17;0;0;Success: I stay in success for 6 seconds
2021-10-08 16:02:12.433002472;1.633.701.732.433.000.000;hella5g rear right1;/radar_hella5g5_node_rear_right11/radar_scan;Threshold general/vehicle_speed;10;6;12;18;21;51;0;0;general/vehicle_speed current value 1.01 is smaller than warn threshold 5.00.
